Food Item,Price (INR),Units Sold
Burger,200,120
Pizza,300,150
Pasta,250,80
Sandwich,150,100
French Fries,100,50
Salad,120,90
Soup,80,70
Chicken Wings,180,110
Tacos,220,130
Nachos,180,95
Burrito,200,120
Sushi,350,180
Steak,400,200
Fish and Chips,180,100
Fried Chicken,250,120
Hot Dog,120,70
Ribs,300,150
Mashed Potatoes,100,60
Grilled Cheese Sandwich,90,40
Caesar Salad,150,80
Chicken Caesar Salad,200,100
Club Sandwich,180,90
Pho,220,120
Spring Rolls,150,80
Pad Thai,200,110
Tom Yum Soup,180,90
Tandoori Chicken,250,140
Butter Chicken,300,160
Naan Bread,50,20
Chicken Tikka Masala,200,120
Biryani,180,100
Samosa,120,70
Masala Dosa,250,130
Idli,100,50
Vada Pav,90,40
Pav Bhaji,150,80
Dhokla,80,60
Chole Bhature,180,100
Aloo Paratha,220,120
Pani Puri,150,90
Dahi Puri,200,100
Sev Puri,180,90
Misal Pav,250,140
Poha,120,70
Upma,300,160
Medu Vada,180,100
Rasam,150,80
Kofta Curry,200,120
